,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,doubleFold
100,21.564,17.885,0.037572,0.042406,1768.3,4.44,33.7,88.4,2.62,15.76,50.5,3.0
101,18.206,15.964,0.041822,0.03942,1619.0,4.565,28.7,85.4,2.978,20.12,64.5,9.0
102,28.166,20.186,0.038972,0.048518,1443.5,4.86,39.0,115.7,2.965,15.5,49.7,10.0
103,23.852,20.546,0.033638,0.03722,1705.9,4.865,19.9,69.8,3.51,25.91,83.1,10.0
104,26.93,23.797,0.041112,0.044262,1772.3,4.71,20.1,80.5,3.996,12.66,40.6,8.0
105,25.876,18.093,0.035108,0.03657,1402.2,4.55,19.8,61.5,3.101,23.33,74.8,3.0
106,28.502,22.66,0.038368,0.040064,1697.9,5.0,25.1,86.9,3.465,24.47,78.4,7.0
107,20.348,22.623,0.035286,0.035042,2019.0,4.4,23.4,51.4,2.194,13.49,43.2,9.0
108,11.362,9.1316,0.027348,0.020288,,4.35,27.1,63.7,2.352,15.41,49.4,2.0
109,19.062,20.732,0.04438,0.04785,2244.0,4.635,27.0,84.7,3.137,20.47,65.6,10.0
110,24.275,24.308,0.04091,0.04283,1758.7,4.625,23.7,61.9,2.613,23.17,74.3,6.0
111,22.782,19.956,0.03466,0.026992,2146.7,4.48,16.2,57.8,3.567,21.78,69.8,2.0
112,32.52,28.285,0.043766,0.045104,1650.0,4.51,26.7,77.6,2.906,16.34,52.4,3.0
113,33.651,29.347,0.047938,0.055976,2055.9,4.62,31.5,87.3,2.772,17.29,55.4,3.0
114,29.746,21.001,0.04949,0.071488,1108.5,4.25,45.9,96.4,2.102,20.25,64.9,10.0
115,32.923,47.149,0.050378,0.071754,3636.6,5.26,39.0,140.5,3.604,10.3,33.0,10.0
116,61.524,31.219,0.03984,0.089132,2791.5,4.425,37.3,165.5,4.44,21.41,68.6,2.0
117,15.362,19.213,0.017472,0.013914,2730.0,4.42,31.1,136.1,4.373,11.59,37.1,3.0
118,31.267,29.128,0.040462,0.051576,3327.8,4.45,29.9,110.3,3.693,11.58,37.1,7.0
119,30.651,29.852,0.028156,0.04435,3410.7,4.415,36.0,180.5,5.012,13.04,41.8,3.0
120,33.317,31.486,0.048056,0.066852,3449.2,6.87,45.8,197.2,4.31,15.43,49.5,10.0
121,45.029,36.266,0.054366,0.10246,3046.3,6.775,43.0,172.2,4.004,13.58,43.5,10.0
122,35.274,27.181,0.038754,0.060022,2766.0,4.455,29.7,105.0,3.537,27.49,88.1,3.0
123,48.742,24.773,0.04121,0.07113,2905.9,4.425,33.2,173.4,5.222,19.54,62.6,2.0
124,20.359,19.389,0.032468,0.041228,3199.1,4.565,21.0,59.3,2.827,15.82,50.7,8.0
125,42.19,26.642,0.044578,0.068276,2229.2,4.48,22.5,66.9,2.974,31.29,100.3,4.0
126,29.064,20.109,0.035124,0.043988,2323.1,4.41,21.4,69.1,3.224,23.6,75.6,2.0
127,50.125,56.451,0.084284,0.13123,3082.6,9.26,99.5,495.1,4.978,5.66,18.1,10.0
128,26.924,27.266,0.03305,0.046158,3700.5,5.075,32.2,116.5,3.615,16.93,54.3,5.0
129,25.854,26.768,0.03364,0.039538,2457.9,4.575,20.7,92.7,4.471,17.26,55.3,3.0
130,39.097,35.032,0.055998,0.082346,2148.2,5.025,27.1,108.5,4.009,16.39,52.5,10.0
131,25.043,26.196,0.049206,0.05384,2785.3,5.385,68.5,117.3,1.712,17.48,56.0,10.0
132,33.482,29.634,0.04756,0.069458,2194.0,4.95,40.7,97.8,2.406,24.18,77.5,10.0
133,22.127,15.135,0.044678,0.051634,2034.5,7.385,34.9,74.8,2.144,16.38,52.5,10.0
134,30.535,25.023,0.040392,0.068836,2480.1,4.82,56.8,101.1,1.781,22.79,73.0,10.0
135,18.442,10.889,0.035558,0.033824,1841.1,4.81,30.0,69.2,2.303,21.52,69.0,10.0
136,59.545,49.313,0.11025,0.21904,2107.4,8.215,84.6,382.8,4.527,9.45,30.3,10.0
137,26.518,29.755,0.043332,0.046756,3218.7,4.92,29.2,70.1,2.398,18.78,60.2,7.0
138,27.8,25.224,0.02978,0.043614,3024.7,4.835,32.0,71.0,2.219,18.97,60.8,8.0
139,24.422,21.689,0.03129,0.045116,3512.8,4.32,25.1,60.3,2.4,14.76,47.3,3.0
140,26.314,20.086,0.025994,0.037318,2261.5,4.665,30.8,72.0,2.336,14.1,45.2,3.0
141,43.449,28.027,0.031844,0.06843,2928.3,4.26,23.8,62.1,2.613,27.25,87.3,3.0
142,32.031,29.48,0.03994,0.05366,3397.1,4.6,23.7,52.2,2.208,21.84,70.0,10.0
143,36.776,31.559,0.055212,0.083052,2835.5,4.865,51.1,108.0,2.115,17.33,55.5,10.0
144,28.085,19.388,0.045034,0.054654,2289.8,4.69,24.4,74.4,3.057,21.52,69.0,8.0
145,20.952,21.518,0.025626,0.030792,2502.8,4.49,27.8,72.9,2.626,13.65,43.8,10.0
146,72.654,56.583,0.093762,0.28566,1972.7,9.37,118.0,493.2,4.18,7.59,24.3,10.0
147,67.937,49.993,0.096592,0.2709,2191.5,9.335,88.6,393.1,4.436,7.1,22.7,10.0
148,63.273,50.699,0.093342,0.24878,2936.0,9.245,64.8,469.6,7.245,10.78,34.5,10.0
149,35.047,28.964,0.039668,0.050556,3087.9,5.34,28.1,111.1,3.955,21.13,67.7,10.0
150,24.298,18.346,0.02842,0.04266,2557.5,4.45,27.2,75.9,2.787,9.24,29.6,2.0
