,publisher,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec
89,D. Appleton & Company,22.587,18.08,0.047916,0.043474,1487.2,5.255,29.3,87.8,3.0010000000000003,28.36,90.9
90,D. Appleton & Company,32.796,23.829,0.049142,0.07094,2489.4,4.98,38.8,80.1,2.068,22.39,71.8
91,D. Appleton & Company,37.525999999999996,27.916999999999998,0.06663,0.10488,2616.8,5.18,108.5,231.5,2.134,16.45,52.7
92,D. Estes & Company,30.043000000000003,24.055,0.036078,0.05093,3402.2,4.845,22.3,81.2,3.639,13.69,43.9
93,D.C. Heath & Co.,29.529,31.594,0.03588,0.05600599999999999,3476.2,4.705,41.3,109.8,2.656,9.04,29.0
94,D.C. Heath & Co.,32.158,43.57,0.035982,0.055608000000000005,4204.4,4.695,29.3,110.1,3.755,12.7,40.7
95,D.C. Heath & Co.,27.768,33.851,0.042151999999999995,0.056276,4135.7,4.805,26.2,86.7,3.31,14.72,47.2
96,Da Capo Press,57.713,58.29,0.085242,0.17095,2414.8,8.135,68.0,373.8,5.494,9.85,31.6
97,Da Capo Press,59.906000000000006,62.669,0.093404,0.18775,3009.4,8.29,105.5,523.2,4.96,12.42,39.8
98,Derby & Jackson,16.789,13.774000000000001,0.035182,0.032832,1271.0,5.38,34.4,79.2,2.303,14.8,47.4
99,Derby & Jackson,23.794,19.409000000000002,0.04276,0.054965999999999994,1995.9,4.955,41.4,82.8,1.999,18.78,60.2
100,Derby & Jackson,24.107,22.090999999999998,0.047908,0.058312,2705.3,5.315,36.1,73.3,2.031,14.62,46.9
101,Derby & Jackson,25.798000000000002,21.073,0.048951999999999996,0.067078,2472.3,5.515,55.2,103.8,1.88,10.67,34.2
102,"Dodd, Mead & Company",34.157,21.998,0.036472000000000004,0.06655,1963.6,5.235,24.2,79.6,3.293,17.27,55.3
103,"Dodd, Mead & Company",39.510999999999996,29.011999999999997,0.0432,0.068854,2770.1,4.855,25.8,80.5,3.1210000000000004,21.11,67.7
104,"Dodd, Mead & Company",35.044000000000004,36.704,0.038416000000000006,0.06252,4030.4,4.705,21.5,59.7,2.773,12.85,41.2
105,"Dodd, Mead & Company",36.227,30.649,0.050789999999999995,0.068104,3332.7,5.31,25.9,76.2,2.9360000000000004,14.57,46.7
106,"Dodd, Mead & Company",31.678,29.913,0.039076,0.055584,3608.0,4.665,21.5,74.2,3.4589999999999996,18.69,59.9
107,"Dodd, Mead & Company",30.678,20.008,0.03578,0.05769,2318.8,5.46,22.9,58.4,2.552,18.17,58.2
108,"Dodd, Mead & Company",29.767,20.296,0.029538,0.047452,2184.7,4.98,21.0,69.5,3.3110000000000004,22.49,72.1
109,"Dodd, Mead & Company",35.997,31.015,0.03506,0.066594,2736.4,4.565,26.4,92.8,3.508,16.8,53.9
110,"Doubleday, Page & Co.",28.579,20.471,0.031436,0.048448000000000005,2298.2,4.855,20.1,63.4,3.158,19.94,63.9
111,Duffield & Co.,34.22,17.435,0.037504,0.0602,1886.1,4.72,16.7,37.4,2.247,11.5,36.9
112,Duffield & Co.,43.744,34.775,0.041366,0.074826,3103.1,5.025,26.5,121.8,4.601,19.88,63.7
113,Duffield & Co.,32.0,14.731,0.04405,0.068386,1466.6,4.895,31.0,68.6,2.2159999999999997,20.37,65.3
114,Duffield & Co.,48.063,37.978,0.046214,0.09556,2472.4,5.34,30.5,123.0,4.032,19.92,63.8
115,"E.F. Kalmus Orchestra Scores, Inc",47.891000000000005,40.736,0.064288,0.13845,1944.7,5.01,38.1,129.5,3.404,12.27,39.3
116,Estab. tip. de El Progreso,19.207,25.82,0.035292000000000004,0.040286,3004.7,4.88,33.8,72.7,2.15,5.82,18.7
117,Estab. tip. de El Progreso,11.198,14.279000000000002,0.016794,0.008556,,4.655,36.3,68.3,1.882,8.75,28.0
118,Estab. tip. de El Progreso,18.753,24.701999999999998,0.034692,0.037364,2742.8,4.34,18.3,45.9,2.502,10.62,34.0
119,Estab. tip. de El Progreso,10.856,15.722999999999999,0.015396,0.007562,,4.155,17.3,37.2,2.145,6.37,20.4
120,Estab. tip. de El Progreso,14.698,21.487,0.030906,0.032226,2774.5,4.8,25.5,54.4,2.136,7.55,24.2
121,Estab. tip. de El Progreso,10.66,14.764000000000001,0.019408,0.009694,1598.7,4.75,15.3,45.6,2.985,12.56,40.3
122,F. Vieweg,20.787,22.804000000000002,0.0425,0.047776,2056.7,4.695,46.9,98.6,2.103,14.68,47.1
123,F. Vieweg,36.775999999999996,31.559,0.055212,0.083052,2835.5,4.865,51.1,108.0,2.115,17.33,55.5
124,F. Vieweg,33.924,32.329,0.052904,0.081334,2930.7,4.89,42.4,84.5,1.994,14.3,45.8
125,F. Vieweg,16.232,19.367,0.03429,0.038388,2501.4,4.545,49.4,74.8,1.516,4.44,14.2
