maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,ph,sec_Mn,sec_Mw,sec_polyDisp
16.947,20.215,0.029972,0.03349,4.67,23.5,126.0,5.363
38.336,20.955,0.037068,0.06136,4.5,24.0,101.4,4.218
34.682,27.233,0.040526,0.056626,4.66,25.9,59.7,2.301
25.876,23.065,0.039314,0.046528,4.725,23.3,61.1,2.625
36.502,19.803,0.036446,0.051994,4.46,23.0,119.1,5.178
28.752,24.109,0.035298,0.04715,4.385,26.2,87.0,3.315
33.007,30.001,0.053202,0.076288,6.43,50.7,128.4,2.533
37.858,31.089,0.05594,0.07706,6.495,29.4,96.2,3.271
34.874,30.118,0.046286,0.067184,4.79,24.9,66.0,2.647
34.421,26.104,0.045182,0.059586,4.375,37.0,114.8,3.104
19.782,19.178,0.03045,0.038494,4.455,23.9,55.0,2.301
39.024,25.338,0.04165,0.062202,4.41,20.4,94.2,4.614
34.228,21.804,0.035276,0.056532,4.26,29.9,97.7,3.268
48.581,26.634,0.04512,0.079506,4.515,18.1,52.6,2.903
24.919,19.123,0.035084,0.04519,4.375,21.9,69.6,3.173
29.654,30.328,0.03296,0.049622,4.495,18.5,50.0,2.701
22.392,20.202,0.032156,0.038756,4.405,26.9,63.5,2.357
13.196,15.559,0.023194,0.022154,4.325,27.8,74.1,2.661
17.636,18.062,0.031114,0.037608,4.305,27.6,63.1,2.286
23.976,21.266,0.03404,0.046984,4.46,22.0,60.5,2.751
21.275,17.064,0.031794,0.03751,4.705,24.3,63.6,2.616
15.647,13.851,0.029084,0.03156,4.875,29.9,91.7,3.069
29.173,18.916,0.03644,0.051342,4.92,29.1,77.5,2.66
18.573,12.447,0.02975,0.031696,4.71,26.8,72.5,2.709
30.198,21.357,0.044616,0.059022,5.035,27.6,68.3,2.479
19.073,29.908,0.033748,0.03822,4.64,30.6,80.2,2.623
46.555,30.193,0.043964,0.080364,6.29,24.2,69.2,2.863
34.48,24.727,0.040046,0.054214,4.335,23.4,70.4,3.014
39.434,34.788,0.043924,0.062072,4.74,25.6,88.0,3.436
18.347,14.385,0.025392,0.032354,4.41,21.5,42.7,1.992
18.347,14.385,0.025392,0.032354,4.41,27.1,56.5,2.081
18.347,14.385,0.025392,0.032354,4.78,21.5,42.7,1.992
18.347,14.385,0.025392,0.032354,4.78,27.1,56.5,2.081
27.384,21.193,0.041154,0.052966,4.41,21.5,42.7,1.992
27.384,21.193,0.041154,0.052966,4.41,27.1,56.5,2.081
27.384,21.193,0.041154,0.052966,4.78,21.5,42.7,1.992
27.384,21.193,0.041154,0.052966,4.78,27.1,56.5,2.081
25.124,34.014,0.04113,0.049,5.805,29.6,108.3,3.658
33.694,46.859,0.044804,0.055654,4.555,28.6,82.2,2.874
33.694,46.859,0.044804,0.055654,4.555,25.9,73.0,2.814
33.694,46.859,0.044804,0.055654,4.585,28.6,82.2,2.874
33.694,46.859,0.044804,0.055654,4.585,25.9,73.0,2.814
28.772,35.853,0.045516,0.057462,4.555,28.6,82.2,2.874
28.772,35.853,0.045516,0.057462,4.555,25.9,73.0,2.814
28.772,35.853,0.045516,0.057462,4.585,28.6,82.2,2.874
28.772,35.853,0.045516,0.057462,4.585,25.9,73.0,2.814
21.101,25.727,0.037392,0.045404,4.645,24.7,59.4,2.402
21.101,25.727,0.037392,0.045404,4.645,23.3,68.2,2.929
21.101,25.727,0.037392,0.045404,4.645,18.1,59.5,3.284
21.101,25.727,0.037392,0.045404,4.66,24.7,59.4,2.402
21.101,25.727,0.037392,0.045404,4.66,23.3,68.2,2.929
21.101,25.727,0.037392,0.045404,4.66,18.1,59.5,3.284
21.101,25.727,0.037392,0.045404,4.645,24.7,59.4,2.402
21.101,25.727,0.037392,0.045404,4.645,23.3,68.2,2.929
21.101,25.727,0.037392,0.045404,4.645,18.1,59.5,3.284
27.103,40.252,0.043248,0.05038,4.645,24.7,59.4,2.402
27.103,40.252,0.043248,0.05038,4.645,23.3,68.2,2.929
27.103,40.252,0.043248,0.05038,4.645,18.1,59.5,3.284
27.103,40.252,0.043248,0.05038,4.66,24.7,59.4,2.402
27.103,40.252,0.043248,0.05038,4.66,23.3,68.2,2.929
27.103,40.252,0.043248,0.05038,4.66,18.1,59.5,3.284
27.103,40.252,0.043248,0.05038,4.645,24.7,59.4,2.402
27.103,40.252,0.043248,0.05038,4.645,23.3,68.2,2.929
27.103,40.252,0.043248,0.05038,4.645,18.1,59.5,3.284
19.397,28.607,0.034274,0.039826,4.645,24.7,59.4,2.402
19.397,28.607,0.034274,0.039826,4.645,23.3,68.2,2.929
